Null_Model,Replication,Silhouette_k_hat,BIC_k_hat,Gap_Statistic_k_hat
"Null 3: Single-Regime GARCH(1,1)",123,2,5,1
"Null 3: Single-Regime GARCH(1,1)",124,2,5,1
"Null 3: Single-Regime GARCH(1,1)",125,2,4,1
"Null 3: Single-Regime GARCH(1,1)",126,2,3,1
"Null 3: Single-Regime GARCH(1,1)",127,2,4,1
"Null 3: Single-Regime GARCH(1,1)",128,2,4,1
"Null 3: Single-Regime GARCH(1,1)",129,2,4,1
"Null 3: Single-Regime GARCH(1,1)",130,2,3,1
"Null 3: Single-Regime GARCH(1,1)",131,2,4,1
"Null 3: Single-Regime GARCH(1,1)",132,2,3,1
"Null 3: Single-Regime GARCH(1,1)",133,2,4,1
"Null 3: Single-Regime GARCH(1,1)",134,2,3,1
"Null 3: Single-Regime GARCH(1,1)",135,2,5,1
"Null 3: Single-Regime GARCH(1,1)",136,2,3,1
"Null 3: Single-Regime GARCH(1,1)",137,2,4,1
"Null 3: Single-Regime GARCH(1,1)",138,2,4,1
"Null 3: Single-Regime GARCH(1,1)",139,2,4,1
"Null 3: Single-Regime GARCH(1,1)",140,3,3,1
"Null 3: Single-Regime GARCH(1,1)",141,2,4,1
"Null 3: Single-Regime GARCH(1,1)",142,2,5,1
"Null 3: Single-Regime GARCH(1,1)",143,2,3,1
"Null 3: Single-Regime GARCH(1,1)",144,2,5,1
"Null 3: Single-Regime GARCH(1,1)",145,2,4,1
"Null 3: Single-Regime GARCH(1,1)",146,2,3,1
"Null 3: Single-Regime GARCH(1,1)",147,2,4,1
"Null 3: Single-Regime GARCH(1,1)",148,2,4,1
"Null 3: Single-Regime GARCH(1,1)",149,2,3,1
"Null 3: Single-Regime GARCH(1,1)",150,2,5,1
"Null 3: Single-Regime GARCH(1,1)",151,2,3,1
"Null 3: Single-Regime GARCH(1,1)",152,2,3,1
"Null 3: Single-Regime GARCH(1,1)",153,2,6,1
"Null 3: Single-Regime GARCH(1,1)",154,2,3,1
"Null 3: Single-Regime GARCH(1,1)",155,2,3,1
"Null 3: Single-Regime GARCH(1,1)",156,2,3,1
"Null 3: Single-Regime GARCH(1,1)",157,2,4,1
"Null 3: Single-Regime GARCH(1,1)",158,2,3,1
"Null 3: Single-Regime GARCH(1,1)",159,2,5,1
"Null 3: Single-Regime GARCH(1,1)",160,2,4,1
"Null 3: Single-Regime GARCH(1,1)",161,2,3,1
"Null 3: Single-Regime GARCH(1,1)",162,2,3,1
"Null 3: Single-Regime GARCH(1,1)",163,2,3,1
"Null 3: Single-Regime GARCH(1,1)",164,2,3,1
"Null 3: Single-Regime GARCH(1,1)",165,2,3,1
"Null 3: Single-Regime GARCH(1,1)",166,2,4,1
"Null 3: Single-Regime GARCH(1,1)",167,2,4,1
"Null 3: Single-Regime GARCH(1,1)",168,2,3,1
"Null 3: Single-Regime GARCH(1,1)",169,2,4,1
"Null 3: Single-Regime GARCH(1,1)",170,2,4,1
"Null 3: Single-Regime GARCH(1,1)",171,2,4,1
"Null 3: Single-Regime GARCH(1,1)",172,2,4,1
"Null 3: Single-Regime GARCH(1,1)",173,2,4,1
"Null 3: Single-Regime GARCH(1,1)",174,2,4,1
"Null 3: Single-Regime GARCH(1,1)",175,2,4,1
"Null 3: Single-Regime GARCH(1,1)",176,2,4,1
"Null 3: Single-Regime GARCH(1,1)",177,2,4,1
"Null 3: Single-Regime GARCH(1,1)",178,2,6,1
"Null 3: Single-Regime GARCH(1,1)",179,2,3,1
"Null 3: Single-Regime GARCH(1,1)",180,2,4,1
"Null 3: Single-Regime GARCH(1,1)",181,2,3,1
"Null 3: Single-Regime GARCH(1,1)",182,2,5,1
"Null 3: Single-Regime GARCH(1,1)",183,2,4,1
"Null 3: Single-Regime GARCH(1,1)",184,2,3,1
"Null 3: Single-Regime GARCH(1,1)",185,2,4,1
"Null 3: Single-Regime GARCH(1,1)",186,2,4,1
"Null 3: Single-Regime GARCH(1,1)",187,2,4,1
"Null 3: Single-Regime GARCH(1,1)",188,2,3,1
"Null 3: Single-Regime GARCH(1,1)",189,2,3,1
"Null 3: Single-Regime GARCH(1,1)",190,2,3,1
"Null 3: Single-Regime GARCH(1,1)",191,2,4,1
"Null 3: Single-Regime GARCH(1,1)",192,2,2,1
"Null 3: Single-Regime GARCH(1,1)",193,2,3,1
"Null 3: Single-Regime GARCH(1,1)",194,2,4,1
"Null 3: Single-Regime GARCH(1,1)",195,2,4,1
"Null 3: Single-Regime GARCH(1,1)",196,2,4,1
"Null 3: Single-Regime GARCH(1,1)",197,2,3,1
"Null 3: Single-Regime GARCH(1,1)",198,2,4,1
"Null 3: Single-Regime GARCH(1,1)",199,2,4,1
